protocol=H-20260910-11
source_revision=8dfbfb8f15eb2ff3d84629385cde99cd9f2bc9aa
source_sha256=d0bf0974df7b4d7c1f8f47369e80f939bf5f801e92fc2ffc36a2beebe199779b
INDEPENDENT=all binary words through length15 agree with the gap generator
NEGATIVE_CONTROL={"newest_first": "ASAASAS", "lag": 7, "P2": true, "no_SS": true, "clean": false}
HOLDOUT={"S_count": 91, "length": 183, "words": 4278, "P2_no_SAAS": 0, "P2_with_SAAS": 23, "violations": 0}
HOLDOUT={"S_count": 92, "length": 185, "words": 4371, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 93, "length": 187, "words": 4465, "P2_no_SAAS": 1, "P2_with_SAAS": 23, "violations": 0}
HOLDOUT={"S_count": 94, "length": 189, "words": 4560, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 95, "length": 191, "words": 4656, "P2_no_SAAS": 0, "P2_with_SAAS": 24, "violations": 0}
HOLDOUT={"S_count": 96, "length": 193, "words": 4753, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 97, "length": 195, "words": 4851, "P2_no_SAAS": 1, "P2_with_SAAS": 24, "violations": 0}
HOLDOUT={"S_count": 98, "length": 197, "words": 4950, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 99, "length": 199, "words": 5050, "P2_no_SAAS": 0, "P2_with_SAAS": 25, "violations": 0}
HOLDOUT={"S_count": 100, "length": 201, "words": 5151, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 101, "length": 203, "words": 5253, "P2_no_SAAS": 1, "P2_with_SAAS": 25, "violations": 0}
HOLDOUT={"S_count": 102, "length": 205, "words": 5356, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 103, "length": 207, "words": 5460, "P2_no_SAAS": 0, "P2_with_SAAS": 26, "violations": 0}
HOLDOUT={"S_count": 104, "length": 209, "words": 5565, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
