i	value	birth	sign	arc	q	r
184	39375734531	11684553134	S	40	3	4322075129
185	39375734528	11684553140	S	40	3	4322075108
186	39375734525	11684553146	S	40	3	4322075087
187	39375734522	11684553152	S	40	3	4322075066
188	39375734519	11684553158	S	40	3	4322075045
189	39375734516	11684553164	S	40	3	4322075024
190	39375734513	11684553170	S	40	3	4322075003
191	39375734510	11684553176	S	40	3	4322074982
192	39375734507	11684553182	S	40	3	4322074961
193	39375734504	11684553188	S	40	3	4322074940
194	39375734501	11684553194	S	40	3	4322074919
195	39375734498	11684553200	S	40	3	4322074898
196	39375734495	11684553206	S	40	3	4322074877
197	39375734492	11684553212	S	40	3	4322074856
198	39375734489	11684553218	S	40	3	4322074835
199	39375734486	11684553224	S	40	3	4322074814
200	39375734483	11684553230	S	40	3	4322074793
201	39375734480	11684553236	S	40	3	4322074772
202	39375734477	11684553242	S	40	3	4322074751
203	39375734474	11684553248	S	40	3	4322074730
204	39375734471	11684553254	S	40	3	4322074709
205	39375734468	11684553260	S	40	3	4322074688
206	39375734465	11684553266	S	40	3	4322074667
207	39375734462	11684553272	S	40	3	4322074646
208	39375734459	11684553278	S	40	3	4322074625
209	39375734456	11684553284	S	40	3	4322074604
210	39375734453	11684553290	S	40	3	4322074583
211	39375734450	11684553296	S	40	3	4322074562
212	39375734447	11684553302	S	40	3	4322074541
213	39375734444	11684553308	S	40	3	4322074520
214	39375734441	11684553314	S	40	3	4322074499
215	39375734438	11684553320	S	40	3	4322074478
216	39375734435	11684553326	S	40	3	4322074457
217	39375734432	11684553332	S	40	3	4322074436
218	39375734429	11684553338	S	40	3	4322074415
219	39375734426	11684553344	S	40	3	4322074394
220	39375734423	11684553350	S	40	3	4322074373
221	39375734420	11684553356	S	40	3	4322074352
222	39375734417	11684553362	S	40	3	4322074331
223	39375734414	11684553368	S	40	3	4322074310
224	39375734411	11684553374	S	40	3	4322074289
225	39375734408	11684553380	S	40	3	4322074268
226	39375734405	11684553386	S	40	3	4322074247
227	39375734402	11684553392	S	40	3	4322074226
228	39375734399	11684553398	S	40	3	4322074205
229	39375734396	11684553404	S	40	3	4322074184
230	39375734393	11684553410	S	40	3	4322074163
231	39375734390	11684553416	S	40	3	4322074142
232	39375734387	11684553422	S	40	3	4322074121
233	39375734384	11684553428	S	40	3	4322074100
